                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.3591,                 1.4849,                 1.2734,                 1.3965,                 2.0075,                 1.2794,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033683,             0.00033683,             0.00033683
                     28,                 1.3578,                 1.4639,                 1.2573,                 1.3947,                 1.9893,                 1.2629,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032363,             0.00032363,             0.00032363
                     29,                 1.3196,                 1.4497,                 1.2543,                 1.3556,                 1.9602,                 1.2546,                0.55275,                0.13487,                0.13604,                0.08225,                      0,                      0,                      0,                      0,                      0,                      0,             0.00031042,             0.00031042,             0.00031042
                     30,                 1.2936,                 1.4324,                 1.2447,                 1.3515,                 1.9289,                 1.2507,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029722,             0.00029722,             0.00029722
                     31,                 1.3035,                 1.4194,                 1.2371,                 1.3398,                  1.917,                 1.2394,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028401,             0.00028401,             0.00028401
                     32,                 1.2915,                 1.4172,                 1.2355,                 1.3303,                 1.9365,                  1.242,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002708,              0.0002708,              0.0002708
                     33,                  1.278,                 1.4065,                 1.2211,                 1.3425,                 1.9138,                 1.2277,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002576,              0.0002576,              0.0002576
                     34,                 1.2849,                 1.4039,                 1.2191,                 1.3406,                 1.9041,                 1.2281,                0.58071,                0.22197,                0.21257,                0.13499,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024439,             0.00024439,             0.00024439
                     35,                 1.2581,                 1.4075,                 1.2127,                 1.2945,                 1.8636,                 1.2041,                0.60044,                 0.2267,                0.22257,                0.14759,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023118,             0.00023118,             0.00023118
                     36,                 1.2634,                 1.3843,                 1.2148,                 1.3193,                  1.881,                 1.2164,                0.60044,                 0.2267,                0.22257,                0.14759,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021798,             0.00021798,             0.00021798
                     37,                 1.2401,                 1.3577,                 1.1881,                 1.2985,                 1.8531,                 1.1965,                0.60044,                 0.2267,                0.22257,                0.14759,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020477,             0.00020477,             0.00020477
                     38,                 1.2235,                 1.3316,                 1.1859,                 1.2899,                 1.8203,                 1.1953,                0.60044,                 0.2267,                0.22257,                0.14759,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019156,             0.00019156,             0.00019156
                     39,                 1.2301,                 1.3496,                 1.1806,                 1.2948,                 1.8351,                 1.1908,                0.60044,                 0.2267,                0.22257,                0.14759,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017836,             0.00017836,             0.00017836
                     40,                 1.2369,                 1.3415,                  1.188,                   1.29,                 1.8094,                 1.1907,                0.46742,                 0.2446,                0.24502,                0.15927,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016515,             0.00016515,             0.00016515
                     41,                 1.1522,                 1.2817,                 1.1378,                 1.2119,                 1.7303,                 1.1494,                0.51218,                0.23666,                0.24069,                0.15791,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015194,             0.00015194,             0.00015194
                     42,                 1.1622,                 1.2776,                 1.1364,                 1.2309,                 1.7278,                 1.1457,                0.46941,                0.25383,                0.24133,                0.16084,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013874,             0.00013874,             0.00013874
                     43,                 1.1391,                 1.2449,                 1.1292,                  1.197,                 1.6844,                 1.1385,                0.56505,                0.24386,                0.24346,                0.15978,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012553,             0.00012553,             0.00012553
                     44,                  1.138,                 1.2512,                 1.1367,                 1.2072,                  1.722,                 1.1513,                0.56968,                0.24431,                0.24408,                0.16323,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011232,             0.00011232,             0.00011232
                     45,                 1.1274,                 1.2493,                 1.1168,                 1.1932,                 1.6993,                 1.1361,                0.58625,                0.23882,                0.24415,                0.16206,                      0,                      0,                      0,                      0,                      0,                      0,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                 1.1714,                 1.3063,                 1.1441,                 1.2358,                  1.774,                 1.1615,                0.57727,                0.24497,                0.24802,                0.16324,                      0,                      0,                      0,                      0,                      0,                      0,              8.591e-05,              8.591e-05,              8.591e-05
                     47,                 1.1159,                 1.2243,                 1.1192,                 1.1812,                 1.6702,                 1.1319,                0.57196,                 0.2544,                 0.2454,                0.16332,                      0,                      0,                      0,                      0,                      0,                      0,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     48,                 1.1223,                 1.2446,                 1.1131,                 1.1825,                 1.6815,                 1.1266,                0.47515,                0.24918,                0.24901,                0.16792,                      0,                      0,                      0,                      0,                      0,                      0,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     49,                 1.0911,                 1.1998,                 1.1083,                 1.1696,                 1.6464,                 1.1262,                0.58486,                0.24705,                0.25001,                 0.1657,                      0,                      0,                      0,                      0,                      0,                      0,              4.629e-05,              4.629e-05,              4.629e-05
                     50,                 1.1205,                  1.233,                 1.1252,                  1.174,                 1.6831,                 1.1331,                0.57542,                0.25028,                 0.2485,                 0.1677,                      0,                      0,                      0,                      0,                      0,                      0,             3.3083e-05,             3.3083e-05,             3.3083e-05
